,Barthag_diff,Exp_diff,Seed_diff,Exp_Barthag_diff,Seed_Barthag_diff,Team1_Barthag,Team2_Barthag,Team1_Exp,Team2_Exp,Team1_Seed,Team2_Seed,Team1_Exp_Barthag,Team2_Exp_Barthag,Team1_Seed_Barthag,Team2_Seed_Barthag
Barthag_diff,1.0,-0.1294843792246711,-0.8286996506603005,0.4619063331291818,0.4915866423492659,0.3248247580009084,-0.7894249397073806,-0.047238166850377565,0.12810133029652207,-0.3747506216275372,0.6283424277805327,0.11039408152042038,-0.4867394113946588,0.3233434262487377,-0.3621493925556379
Exp_diff,-0.1294843792246711,1.0,0.12034848561534756,0.8038474514614701,-0.0921288835971804,-0.07001200428847859,0.08407600230162299,0.683218324085873,-0.6628250490361624,0.1054718993956357,-0.04893813170592878,0.5982183986634391,-0.44914677257736974,-0.08882347171780873,0.008089990045694126
Seed_diff,-0.8286996506603005,0.12034848561534756,1.0,-0.36772014945711207,-0.5963737042034687,-0.33565713804008757,0.6110511276336166,0.04381055539386511,-0.11916010311603017,0.5168771575238454,-0.7046296669752172,-0.12148347250554646,0.3545671409560498,-0.35570568781051287,0.5167833561387893
Exp_Barthag_diff,0.4619063331291818,0.8038474514614701,-0.36772014945711207,1.0,0.19024945438193566,0.11493376201938213,-0.3874248984578189,0.6246013871874246,-0.45549572530471377,-0.11041026612656714,0.32513211833066313,0.6414076196521954,-0.6594611142093809,0.09437707124603163,-0.2053061036059388
Seed_Barthag_diff,0.4915866423492659,-0.0921288835971804,-0.5963737042034687,0.19024945438193566,1.0,0.380388364165227,-0.2448214617209295,-0.09919482359153932,0.02389325183525274,-0.6598062030946467,0.12882442891189463,0.08393459281370856,-0.16278727811294577,0.8891736061509309,-0.2465515031743362
Team1_Barthag,0.3248247580009084,-0.07001200428847859,-0.33565713804008757,0.11493376201938213,0.380388364165227,1.0,0.3241359994878713,-0.11890704544182226,-0.02647435562396624,-0.7946224471811324,-0.2783307038036183,0.37767439502604616,0.2220349680170468,0.4629836192896564,0.17043913402315164
Team2_Barthag,-0.7894249397073806,0.08407600230162299,0.6110511276336166,-0.3874248984578189,-0.2448214617209295,0.3241359994878713,1.0,-0.02992568743202986,-0.1453162987077652,-0.140899025278352,-0.8091476901588509,0.13470484871993588,0.6309710069867649,-0.022928433462030284,0.4728620047520225
Team1_Exp,-0.047238166850377565,0.683218324085873,0.04381055539386511,0.6246013871874246,-0.09919482359153932,-0.11890704544182226,-0.02992568743202986,1.0,0.0939113794411241,0.14613677172822562,0.07149057298824349,0.868480965942493,0.04652770077764848,-0.13415823361342258,-0.07287954350688601
Team2_Exp,0.12810133029652207,-0.6628250490361624,-0.11916010311603017,-0.45549572530471377,0.02389325183525274,-0.02647435562396624,-0.1453162987077652,0.0939113794411241,1.0,0.006049850371915686,0.14003036621122655,0.07493913792362296,0.6600810662656968,-0.01646546520792056,-0.08576191671046983
Team1_Seed,-0.3747506216275372,0.1054718993956357,0.5168771575238454,-0.11041026612656714,-0.6598062030946467,-0.7946224471811324,-0.140899025278352,0.14613677172822562,0.006049850371915686,1.0,0.24323170911531877,-0.247581851580438,-0.10039021725325983,-0.7499759184104895,-0.18317848689967023
Team2_Seed,0.6283424277805327,-0.04893813170592878,-0.7046296669752172,0.32513211833066313,0.12882442891189463,-0.2783307038036183,-0.8091476901588509,0.07149057298824349,0.14003036621122655,0.24323170911531877,1.0,-0.06756871630495535,-0.4849583831488259,-0.21860760865918022,-0.7373813272494988
Team1_Exp_Barthag,0.11039408152042038,0.5982183986634391,-0.12148347250554646,0.6414076196521954,0.08393459281370856,0.37767439502604616,0.13470484871993588,0.868480965942493,0.07493913792362296,-0.247581851580438,-0.06756871630495535,1.0,0.15375073809272333,0.08974384495192346,0.011311670957493969
Team2_Exp_Barthag,-0.4867394113946588,-0.44914677257736974,0.3545671409560498,-0.6594611142093809,-0.16278727811294577,0.2220349680170468,0.6309710069867649,0.04652770077764848,0.6600810662656968,-0.10039021725325983,-0.4849583831488259,0.15375073809272333,1.0,-0.03361700685611571,0.2755061124569574
Team1_Seed_Barthag,0.3233434262487377,-0.08882347171780873,-0.35570568781051287,0.09437707124603163,0.8891736061509309,0.4629836192896564,-0.022928433462030284,-0.13415823361342258,-0.01646546520792056,-0.7499759184104895,-0.21860760865918022,0.08974384495192346,-0.03361700685611571,1.0,0.2242175759560301
Team2_Seed_Barthag,-0.3621493925556379,0.008089990045694126,0.5167833561387893,-0.2053061036059388,-0.2465515031743362,0.17043913402315164,0.4728620047520225,-0.07287954350688601,-0.08576191671046983,-0.18317848689967023,-0.7373813272494988,0.011311670957493969,0.2755061124569574,0.2242175759560301,1.0
