TeamID,ConfAbbrev
1101,wac
1102,mwc
1103,mac
1104,sec
1105,swac
1106,swac
1107,aec
1108,swac
1110,patriot
1111,sun_belt
1112,big_twelve
1113,big_twelve
1114,ovc
1115,swac
1116,sec
1117,sun_belt
1119,patriot
1120,sec
1122,a_sun
1123,mac
1124,big_twelve
1125,mvc
1126,swac
1127,aec
1129,mwc
1130,acc
1131,patriot
1132,mac
1133,mvc
1135,ivy
1136,aec
1137,patriot
1138,mac
1139,big_east
1140,big_twelve
1141,mac
1142,big_west
1143,acc
1144,caa
1145,maac
1146,a_sun
1148,nec
1149,big_south
1150,aac
1151,southern
1152,nec
1153,big_twelve
1154,southern
1155,acc
1156,horizon
1157,sun_belt
1158,caa
1159,patriot
1160,big_twelve
1161,mwc
1162,ivy
1163,big_east
1164,meac
1165,ivy
1166,big_east
1167,big_west
1168,big_west
1169,big_west
1170,big_sky
1171,ivy
1172,a_ten
1173,a_ten
1174,caa
1175,meac
1176,summit
1177,big_east
1178,horizon
1179,mvc
1180,caa
1181,acc
1182,a_ten
1183,ovc
1184,a_sun
1185,mac
1186,big_sky
1187,aac
1188,ovc
1189,caa
1190,southern
1191,mvc
1192,nec
1193,maac
1194,aac
1195,a_sun
1196,sec
1197,swac
1198,cusa
1199,acc
1200,a_ten
1201,mwc
1202,southern
1203,a_ten
1204,sun_belt
1205,big_south
1206,a_ten
1207,big_east
1208,sec
1209,sun_belt
1210,acc
1211,wcc
1212,swac
1213,wac
1214,caa
1217,ivy
1218,big_west
1219,big_south
1220,caa
1221,patriot
1222,big_twelve
1223,southland
1224,meac
1225,big_sky
1226,big_sky
1227,mvc
1228,big_ten
1229,mvc
1230,southland
1231,big_ten
1232,mvc
1233,maac
1234,big_ten
1235,big_twelve
1236,horizon
1237,horizon
1238,swac
1239,a_sun
1240,cusa
1241,sun_belt
1242,big_twelve
1243,big_twelve
1244,cusa
1245,mac
1246,sec
1247,a_ten
1248,patriot
1249,southland
1250,patriot
1251,cusa
1252,a_sun
1253,big_west
1254,nec
1255,big_south
1256,cusa
1257,acc
1258,wcc
1259,patriot
1260,a_ten
1261,sec
1262,aec
1263,aec
1264,maac
1265,maac
1266,big_east
1267,sun_belt
1268,big_ten
1269,a_ten
1270,southland
1271,meac
1272,aac
1273,southern
1274,acc
1275,mac
1276,big_ten
1277,big_ten
1278,big_ten
1279,sec
1280,sec
1281,sec
1282,summit
1283,mvc
1284,caa
1285,big_sky
1286,big_sky
1287,ovc
1288,meac
1290,swac
1291,maac
1292,cusa
1293,mvc
1294,big_sky
1295,summit
1296,mac
1297,horizon
1298,patriot
1299,caa
1300,meac
1301,acc
1303,summit
1304,big_ten
1305,mwc
1306,aec
1307,mwc
1308,cusa
1309,southland
1310,maac
1311,southland
1312,aec
1313,meac
1314,acc
1315,summit
1316,a_sun
1317,aac
1318,caa
1319,big_sky
1320,mvc
1321,big_ten
1322,southland
1323,acc
1324,horizon
1325,mac
1326,big_ten
1328,sec
1329,big_twelve
1330,sun_belt
1331,summit
1332,big_ten
1333,wcc
1334,wcc
1335,ivy
1336,big_ten
1337,wcc
1338,acc
1339,wcc
1340,big_sky
1341,swac
1342,big_south
1343,ivy
1344,big_east
1345,big_ten
1346,maac
1347,big_south
1348,a_ten
1349,aac
1350,a_ten
1351,maac
1352,horizon
1353,big_ten
1354,meac
1355,summit
1356,mvc
1357,maac
1358,cusa
1359,southern
1360,wcc
1361,mwc
1362,wcc
1363,mwc
1364,big_west
1365,wcc
1367,big_south
1368,southland
1369,ovc
1370,wac
1371,big_east
1372,southland
1373,maac
1374,acc
1375,sun_belt
1376,sec
1377,summit
1378,aac
1379,sun_belt
1380,swac
1381,wac
1382,a_ten
1384,nec
1385,big_east
1386,a_ten
1387,a_ten
1388,wcc
1389,maac
1390,acc
1391,a_sun
1392,caa
1393,acc
1394,southland
1395,big_twelve
1396,aac
1397,sec
1398,ovc
1399,ovc
1400,sec
1401,sec
1402,sun_belt
1403,big_twelve
1404,ovc
1405,mac
1406,caa
1407,sun_belt
1408,aac
1409,aac
1410,southland
1411,swac
1412,aac
1413,big_west
1414,big_west
1415,big_west
1416,big_twelve
1417,big_ten
1418,sun_belt
1419,sun_belt
1420,aec
1421,big_south
1422,southern
1423,caa
1424,mwc
1425,big_ten
1426,wac
1427,aac
1428,big_twelve
1429,mwc
1430,wac
1431,cusa
1433,a_ten
1434,mvc
1435,sec
1436,aec
1437,big_east
1438,acc
1439,acc
1440,southern
1441,southern
1442,ovc
1443,cusa
1444,mac
1447,nec
1448,acc
1449,big_ten
1450,wcc
1451,big_sky
1452,big_twelve
1453,horizon
1454,horizon
1455,aac
1456,caa
1457,big_south
1458,big_ten
1459,southern
1460,horizon
1461,mwc
1462,big_east
1463,ivy
1464,horizon
1465,wac
1466,a_sun
1467,maac
1468,a_sun
1469,wac
1470,wac
1471,big_west
1472,summit
1473,ovc
1474,a_sun
1475,ovc
1476,nec
1477,southland
1478,nec
1479,nec
1480,a_sun
